date,ageGroup,vaxxed
07/12/2022,2 - 4 Years,0.029
07/12/2022,5 - 11 Years,0.369
07/12/2022,12 - 17 Years,0.702
07/12/2022,18 - 24 Years,0.794
07/12/2022,25 - 49 Years,0.831
07/12/2022,50 - 64 Years,0.938
07/12/2022,65+ Years,0.95
07/11/2022,<2 Years,0.018
07/11/2022,2 - 4 Years,0.028
07/11/2022,5 - 11 Years,0.369
07/11/2022,12 - 17 Years,0.702
07/11/2022,18 - 24 Years,0.793
07/11/2022,25 - 49 Years,0.831
07/11/2022,50 - 64 Years,0.937
07/11/2022,65+ Years,0.95
07/10/2022,<2 Years,0.017
07/10/2022,2 - 4 Years,0.027
07/10/2022,5 - 11 Years,0.369
07/10/2022,12 - 17 Years,0.702
07/10/2022,18 - 24 Years,0.793
07/10/2022,25 - 49 Years,0.831
07/10/2022,50 - 64 Years,0.937
07/10/2022,65+ Years,0.95
07/09/2022,<2 Years,0.017
07/09/2022,2 - 4 Years,0.026
07/09/2022,5 - 11 Years,0.369
07/09/2022,12 - 17 Years,0.702
07/09/2022,18 - 24 Years,0.793
07/09/2022,25 - 49 Years,0.831
07/09/2022,50 - 64 Years,0.937
07/09/2022,65+ Years,0.95
07/08/2022,<2 Years,0.016
07/08/2022,2 - 4 Years,0.025
07/08/2022,5 - 11 Years,0.369
07/08/2022,12 - 17 Years,0.702
07/08/2022,18 - 24 Years,0.793
07/08/2022,25 - 49 Years,0.831
07/08/2022,50 - 64 Years,0.937
07/08/2022,65+ Years,0.95
07/07/2022,<2 Years,0.015
07/07/2022,2 - 4 Years,0.024
07/07/2022,5 - 11 Years,0.368
07/07/2022,12 - 17 Years,0.702
07/07/2022,18 - 24 Years,0.793
07/07/2022,25 - 49 Years,0.831
07/07/2022,50 - 64 Years,0.937
07/07/2022,65+ Years,0.95
07/06/2022,<2 Years,0.014
07/06/2022,2 - 4 Years,0.022
07/06/2022,5 - 11 Years,0.368
07/06/2022,12 - 17 Years,0.701
07/06/2022,18 - 24 Years,0.793
07/06/2022,25 - 49 Years,0.831
07/06/2022,50 - 64 Years,0.937
07/06/2022,65+ Years,0.95
07/05/2022,<2 Years,0.013
07/05/2022,2 - 4 Years,0.02
07/05/2022,5 - 11 Years,0.368
07/05/2022,12 - 17 Years,0.701
07/05/2022,18 - 24 Years,0.793
07/05/2022,25 - 49 Years,0.831
07/05/2022,50 - 64 Years,0.937
07/05/2022,65+ Years,0.95
07/04/2022,<2 Years,0.013
07/04/2022,2 - 4 Years,0.019
07/04/2022,5 - 11 Years,0.367
07/04/2022,12 - 17 Years,0.701
07/04/2022,18 - 24 Years,0.792
07/04/2022,25 - 49 Years,0.831
07/04/2022,50 - 64 Years,0.937
07/04/2022,65+ Years,0.95
07/03/2022,<2 Years,0.013
07/03/2022,2 - 4 Years,0.019
07/03/2022,5 - 11 Years,0.367
07/03/2022,12 - 17 Years,0.701
07/03/2022,18 - 24 Years,0.792
07/03/2022,25 - 49 Years,0.831
07/03/2022,50 - 64 Years,0.937
07/03/2022,65+ Years,0.95
07/02/2022,<2 Years,0.012
07/02/2022,2 - 4 Years,0.019
07/02/2022,5 - 11 Years,0.367
07/02/2022,12 - 17 Years,0.701
07/02/2022,18 - 24 Years,0.792
07/02/2022,25 - 49 Years,0.83
07/02/2022,50 - 64 Years,0.937
07/02/2022,65+ Years,0.95
07/01/2022,<2 Years,0.012
07/01/2022,2 - 4 Years,0.018
07/01/2022,5 - 11 Years,0.367
07/01/2022,12 - 17 Years,0.701
07/01/2022,18 - 24 Years,0.792
07/01/2022,25 - 49 Years,0.83
07/01/2022,50 - 64 Years,0.937
07/01/2022,65+ Years,0.95
06/30/2022,<2 Years,0.011
06/30/2022,2 - 4 Years,0.016
06/30/2022,5 - 11 Years,0.367
06/30/2022,12 - 17 Years,0.701
06/30/2022,18 - 24 Years,0.792
06/30/2022,25 - 49 Years,0.83
06/30/2022,50 - 64 Years,0.937
06/30/2022,65+ Years,0.95
06/29/2022,<2 Years,0.009
06/29/2022,2 - 4 Years,0.014
06/29/2022,5 - 11 Years,0.367
06/29/2022,12 - 17 Years,0.701
06/29/2022,18 - 24 Years,0.792
06/29/2022,25 - 49 Years,0.83
06/29/2022,50 - 64 Years,0.937
06/29/2022,65+ Years,0.95
06/28/2022,<2 Years,0.008
06/28/2022,2 - 4 Years,0.012
06/28/2022,5 - 11 Years,0.366
06/28/2022,12 - 17 Years,0.701
06/28/2022,18 - 24 Years,0.792
06/28/2022,25 - 49 Years,0.83
06/28/2022,50 - 64 Years,0.936
06/28/2022,65+ Years,0.95
06/27/2022,<2 Years,0.006
06/27/2022,2 - 4 Years,0.01
06/27/2022,5 - 11 Years,0.366
06/27/2022,12 - 17 Years,0.7
06/27/2022,18 - 24 Years,0.792
06/27/2022,25 - 49 Years,0.83
06/27/2022,50 - 64 Years,0.936
06/27/2022,65+ Years,0.95
06/26/2022,<2 Years,0.005
06/26/2022,2 - 4 Years,0.009
06/26/2022,5 - 11 Years,0.366
06/26/2022,12 - 17 Years,0.7
06/26/2022,18 - 24 Years,0.791
06/26/2022,25 - 49 Years,0.83
06/26/2022,50 - 64 Years,0.936
06/26/2022,65+ Years,0.95
06/25/2022,<2 Years,0.005
06/25/2022,2 - 4 Years,0.008
06/25/2022,5 - 11 Years,0.366
06/25/2022,12 - 17 Years,0.7
06/25/2022,18 - 24 Years,0.791
06/25/2022,25 - 49 Years,0.83
06/25/2022,50 - 64 Years,0.936
06/25/2022,65+ Years,0.95
06/24/2022,<2 Years,0.004
06/24/2022,2 - 4 Years,0.006
06/24/2022,5 - 11 Years,0.366
06/24/2022,12 - 17 Years,0.7
06/24/2022,18 - 24 Years,0.791
06/24/2022,25 - 49 Years,0.83
06/24/2022,50 - 64 Years,0.936
06/24/2022,65+ Years,0.95
06/23/2022,<2 Years,0.002
06/23/2022,2 - 4 Years,0.004
06/23/2022,5 - 11 Years,0.365
06/23/2022,12 - 17 Years,0.7
06/23/2022,18 - 24 Years,0.791
06/23/2022,25 - 49 Years,0.83
06/23/2022,50 - 64 Years,0.936
06/23/2022,65+ Years,0.95
06/22/2022,<2 Years,0.001
06/22/2022,2 - 4 Years,0.002
06/22/2022,5 - 11 Years,0.365
06/22/2022,12 - 17 Years,0.7
06/22/2022,18 - 24 Years,0.791
06/22/2022,25 - 49 Years,0.83
06/22/2022,50 - 64 Years,0.936
06/22/2022,65+ Years,0.95
06/21/2022,<2 Years,0
06/21/2022,2 - 4 Years,0.001
06/21/2022,5 - 11 Years,0.365
06/21/2022,12 - 17 Years,0.7
06/21/2022,18 - 24 Years,0.791
06/21/2022,25 - 49 Years,0.83
06/21/2022,50 - 64 Years,0.936
06/21/2022,65+ Years,0.95
06/20/2022,<2 Years,0
06/20/2022,2 - 4 Years,0
06/20/2022,5 - 11 Years,0.365
06/20/2022,12 - 17 Years,0.7
06/20/2022,18 - 24 Years,0.791
06/20/2022,25 - 49 Years,0.829
06/20/2022,50 - 64 Years,0.936
06/20/2022,65+ Years,0.95
06/19/2022,<2 Years,0
06/19/2022,2 - 4 Years,0
06/19/2022,5 - 11 Years,0.365
06/19/2022,12 - 17 Years,0.699
06/19/2022,18 - 24 Years,0.79
06/19/2022,25 - 49 Years,0.829
06/19/2022,50 - 64 Years,0.936
06/19/2022,65+ Years,0.95
06/18/2022,<2 Years,0
06/18/2022,2 - 4 Years,0
06/18/2022,5 - 11 Years,0.364
06/18/2022,12 - 17 Years,0.699
06/18/2022,18 - 24 Years,0.79
06/18/2022,25 - 49 Years,0.829
06/18/2022,50 - 64 Years,0.936
06/18/2022,65+ Years,0.95
06/17/2022,<2 Years,0
06/17/2022,2 - 4 Years,0
06/17/2022,5 - 11 Years,0.364
06/17/2022,12 - 17 Years,0.699
06/17/2022,18 - 24 Years,0.79
06/17/2022,25 - 49 Years,0.829
06/17/2022,50 - 64 Years,0.936
06/17/2022,65+ Years,0.95
06/16/2022,<2 Years,0
06/16/2022,2 - 4 Years,0
06/16/2022,5 - 11 Years,0.364
06/16/2022,12 - 17 Years,0.699
06/16/2022,18 - 24 Years,0.79
06/16/2022,25 - 49 Years,0.829
06/16/2022,50 - 64 Years,0.935
06/16/2022,65+ Years,0.95
06/15/2022,<2 Years,0
06/15/2022,2 - 4 Years,0
06/15/2022,5 - 11 Years,0.364
06/15/2022,12 - 17 Years,0.699
06/15/2022,18 - 24 Years,0.79
06/15/2022,25 - 49 Years,0.829
06/15/2022,50 - 64 Years,0.935
06/15/2022,65+ Years,0.95
06/14/2022,<2 Years,0
06/14/2022,2 - 4 Years,0
06/14/2022,5 - 11 Years,0.364
06/14/2022,12 - 17 Years,0.699
06/14/2022,18 - 24 Years,0.79
06/14/2022,25 - 49 Years,0.829
06/14/2022,50 - 64 Years,0.935
06/14/2022,65+ Years,0.95
06/13/2022,<2 Years,0
06/13/2022,2 - 4 Years,0
06/13/2022,5 - 11 Years,0.363
06/13/2022,12 - 17 Years,0.699
06/13/2022,18 - 24 Years,0.79
06/13/2022,25 - 49 Years,0.829
06/13/2022,50 - 64 Years,0.935
06/13/2022,65+ Years,0.95
06/12/2022,<2 Years,0
06/12/2022,2 - 4 Years,0
06/12/2022,5 - 11 Years,0.363
06/12/2022,12 - 17 Years,0.699
06/12/2022,18 - 24 Years,0.789
06/12/2022,25 - 49 Years,0.829
06/12/2022,50 - 64 Years,0.935
06/12/2022,65+ Years,0.95
06/11/2022,<2 Years,0
06/11/2022,2 - 4 Years,0
06/11/2022,5 - 11 Years,0.363
06/11/2022,12 - 17 Years,0.698
06/11/2022,18 - 24 Years,0.789
06/11/2022,25 - 49 Years,0.829
06/11/2022,50 - 64 Years,0.935
06/11/2022,65+ Years,0.95
06/10/2022,<2 Years,0
06/10/2022,2 - 4 Years,0
06/10/2022,5 - 11 Years,0.363
06/10/2022,12 - 17 Years,0.698
06/10/2022,18 - 24 Years,0.789
06/10/2022,25 - 49 Years,0.829
06/10/2022,50 - 64 Years,0.935
06/10/2022,65+ Years,0.95
06/09/2022,<2 Years,0
06/09/2022,2 - 4 Years,0
06/09/2022,5 - 11 Years,0.363
06/09/2022,12 - 17 Years,0.698
06/09/2022,18 - 24 Years,0.789
06/09/2022,25 - 49 Years,0.829
06/09/2022,50 - 64 Years,0.935
06/09/2022,65+ Years,0.95
06/08/2022,<2 Years,0
06/08/2022,2 - 4 Years,0
06/08/2022,5 - 11 Years,0.362
06/08/2022,12 - 17 Years,0.698
06/08/2022,18 - 24 Years,0.789
06/08/2022,25 - 49 Years,0.828
06/08/2022,50 - 64 Years,0.935
06/08/2022,65+ Years,0.95
06/07/2022,<2 Years,0
06/07/2022,2 - 4 Years,0
06/07/2022,5 - 11 Years,0.362
06/07/2022,12 - 17 Years,0.698
06/07/2022,18 - 24 Years,0.789
06/07/2022,25 - 49 Years,0.828
06/07/2022,50 - 64 Years,0.935
06/07/2022,65+ Years,0.95
06/06/2022,<2 Years,0
06/06/2022,2 - 4 Years,0
06/06/2022,5 - 11 Years,0.362
06/06/2022,12 - 17 Years,0.698
06/06/2022,18 - 24 Years,0.789
06/06/2022,25 - 49 Years,0.828
06/06/2022,50 - 64 Years,0.934
06/06/2022,65+ Years,0.95
06/05/2022,<2 Years,0
06/05/2022,2 - 4 Years,0
06/05/2022,5 - 11 Years,0.362
06/05/2022,12 - 17 Years,0.698
06/05/2022,18 - 24 Years,0.788
06/05/2022,25 - 49 Years,0.828
06/05/2022,50 - 64 Years,0.934
06/05/2022,65+ Years,0.95
06/04/2022,<2 Years,0
06/04/2022,2 - 4 Years,0
06/04/2022,5 - 11 Years,0.362
06/04/2022,12 - 17 Years,0.697
06/04/2022,18 - 24 Years,0.788
06/04/2022,25 - 49 Years,0.828
06/04/2022,50 - 64 Years,0.934
06/04/2022,65+ Years,0.95
06/03/2022,<2 Years,0
06/03/2022,2 - 4 Years,0
06/03/2022,5 - 11 Years,0.362
06/03/2022,12 - 17 Years,0.697
06/03/2022,18 - 24 Years,0.788
06/03/2022,25 - 49 Years,0.828
06/03/2022,50 - 64 Years,0.934
06/03/2022,65+ Years,0.95
06/02/2022,<2 Years,0
06/02/2022,2 - 4 Years,0
06/02/2022,5 - 11 Years,0.361
06/02/2022,12 - 17 Years,0.697
06/02/2022,18 - 24 Years,0.788
06/02/2022,25 - 49 Years,0.828
06/02/2022,50 - 64 Years,0.934
06/02/2022,65+ Years,0.95
06/01/2022,<2 Years,0
06/01/2022,2 - 4 Years,0
06/01/2022,5 - 11 Years,0.361
06/01/2022,12 - 17 Years,0.697
06/01/2022,18 - 24 Years,0.788
06/01/2022,25 - 49 Years,0.828
06/01/2022,50 - 64 Years,0.934
06/01/2022,65+ Years,0.95
05/31/2022,<2 Years,0
05/31/2022,2 - 4 Years,0
05/31/2022,5 - 11 Years,0.361
05/31/2022,12 - 17 Years,0.697
05/31/2022,18 - 24 Years,0.788
05/31/2022,25 - 49 Years,0.828
05/31/2022,50 - 64 Years,0.934
05/31/2022,65+ Years,0.95
05/30/2022,<2 Years,0
05/30/2022,2 - 4 Years,0
05/30/2022,5 - 11 Years,0.36
05/30/2022,12 - 17 Years,0.697
05/30/2022,18 - 24 Years,0.787
05/30/2022,25 - 49 Years,0.828
05/30/2022,50 - 64 Years,0.934
05/30/2022,65+ Years,0.95
05/29/2022,<2 Years,0
05/29/2022,2 - 4 Years,0
05/29/2022,5 - 11 Years,0.36
05/29/2022,12 - 17 Years,0.697
05/29/2022,18 - 24 Years,0.787
05/29/2022,25 - 49 Years,0.828
05/29/2022,50 - 64 Years,0.934
05/29/2022,65+ Years,0.95
05/28/2022,<2 Years,0
05/28/2022,2 - 4 Years,0
05/28/2022,5 - 11 Years,0.36
05/28/2022,12 - 17 Years,0.697
05/28/2022,18 - 24 Years,0.787
05/28/2022,25 - 49 Years,0.827
05/28/2022,50 - 64 Years,0.934
05/28/2022,65+ Years,0.95
05/27/2022,<2 Years,0
05/27/2022,2 - 4 Years,0
05/27/2022,5 - 11 Years,0.36
05/27/2022,12 - 17 Years,0.697
05/27/2022,18 - 24 Years,0.787
05/27/2022,25 - 49 Years,0.827
05/27/2022,50 - 64 Years,0.934
05/27/2022,65+ Years,0.95
05/26/2022,<2 Years,0
05/26/2022,2 - 4 Years,0
05/26/2022,5 - 11 Years,0.36
05/26/2022,12 - 17 Years,0.696
05/26/2022,18 - 24 Years,0.787
05/26/2022,25 - 49 Years,0.827
05/26/2022,50 - 64 Years,0.933
05/26/2022,65+ Years,0.95
05/25/2022,<2 Years,0
05/25/2022,2 - 4 Years,0
05/25/2022,5 - 11 Years,0.36
05/25/2022,12 - 17 Years,0.696
05/25/2022,18 - 24 Years,0.787
05/25/2022,25 - 49 Years,0.827
05/25/2022,50 - 64 Years,0.933
05/25/2022,65+ Years,0.95
05/24/2022,<2 Years,0
05/24/2022,2 - 4 Years,0
05/24/2022,5 - 11 Years,0.359
05/24/2022,12 - 17 Years,0.696
05/24/2022,18 - 24 Years,0.787
05/24/2022,25 - 49 Years,0.827
05/24/2022,50 - 64 Years,0.933
05/24/2022,65+ Years,0.95
05/23/2022,<2 Years,0
05/23/2022,2 - 4 Years,0
05/23/2022,5 - 11 Years,0.359
05/23/2022,12 - 17 Years,0.696
05/23/2022,18 - 24 Years,0.786
05/23/2022,25 - 49 Years,0.827
05/23/2022,50 - 64 Years,0.933
05/23/2022,65+ Years,0.95
05/22/2022,<2 Years,0
05/22/2022,2 - 4 Years,0
05/22/2022,5 - 11 Years,0.359
05/22/2022,12 - 17 Years,0.696
05/22/2022,18 - 24 Years,0.786
05/22/2022,25 - 49 Years,0.827
05/22/2022,50 - 64 Years,0.933
05/22/2022,65+ Years,0.95
05/21/2022,<2 Years,0
05/21/2022,2 - 4 Years,0
05/21/2022,5 - 11 Years,0.359
05/21/2022,12 - 17 Years,0.696
05/21/2022,18 - 24 Years,0.786
05/21/2022,25 - 49 Years,0.827
05/21/2022,50 - 64 Years,0.933
05/21/2022,65+ Years,0.95
05/20/2022,<2 Years,0
05/20/2022,2 - 4 Years,0
05/20/2022,5 - 11 Years,0.359
05/20/2022,12 - 17 Years,0.695
05/20/2022,18 - 24 Years,0.786
05/20/2022,25 - 49 Years,0.827
05/20/2022,50 - 64 Years,0.933
05/20/2022,65+ Years,0.95
05/19/2022,<2 Years,0
05/19/2022,2 - 4 Years,0
05/19/2022,5 - 11 Years,0.358
05/19/2022,12 - 17 Years,0.695
05/19/2022,18 - 24 Years,0.786
05/19/2022,25 - 49 Years,0.827
05/19/2022,50 - 64 Years,0.932
05/19/2022,65+ Years,0.95
05/18/2022,<2 Years,0
05/18/2022,2 - 4 Years,0
05/18/2022,5 - 11 Years,0.358
05/18/2022,12 - 17 Years,0.695
05/18/2022,18 - 24 Years,0.786
05/18/2022,25 - 49 Years,0.826
05/18/2022,50 - 64 Years,0.932
05/18/2022,65+ Years,0.95
05/17/2022,<2 Years,0
05/17/2022,2 - 4 Years,0
05/17/2022,5 - 11 Years,0.358
05/17/2022,12 - 17 Years,0.695
05/17/2022,18 - 24 Years,0.786
05/17/2022,25 - 49 Years,0.826
05/17/2022,50 - 64 Years,0.932
05/17/2022,65+ Years,0.95
05/16/2022,<2 Years,0
05/16/2022,2 - 4 Years,0
05/16/2022,5 - 11 Years,0.358
05/16/2022,12 - 17 Years,0.695
05/16/2022,18 - 24 Years,0.785
05/16/2022,25 - 49 Years,0.826
05/16/2022,50 - 64 Years,0.932
05/16/2022,65+ Years,0.95
05/15/2022,<2 Years,0
05/15/2022,2 - 4 Years,0
05/15/2022,5 - 11 Years,0.357
05/15/2022,12 - 17 Years,0.695
05/15/2022,18 - 24 Years,0.785
05/15/2022,25 - 49 Years,0.826
05/15/2022,50 - 64 Years,0.932
05/15/2022,65+ Years,0.95
05/14/2022,<2 Years,0
05/14/2022,2 - 4 Years,0
05/14/2022,5 - 11 Years,0.357
05/14/2022,12 - 17 Years,0.695
05/14/2022,18 - 24 Years,0.785
05/14/2022,25 - 49 Years,0.826
05/14/2022,50 - 64 Years,0.932
05/14/2022,65+ Years,0.95
05/13/2022,<2 Years,0
05/13/2022,2 - 4 Years,0
05/13/2022,5 - 11 Years,0.357
05/13/2022,12 - 17 Years,0.695
05/13/2022,18 - 24 Years,0.785
05/13/2022,25 - 49 Years,0.826
05/13/2022,50 - 64 Years,0.932
05/13/2022,65+ Years,0.95
05/12/2022,<2 Years,0
05/12/2022,2 - 4 Years,0
05/12/2022,5 - 11 Years,0.357
05/12/2022,12 - 17 Years,0.694
05/12/2022,18 - 24 Years,0.785
05/12/2022,25 - 49 Years,0.826
05/12/2022,50 - 64 Years,0.931
05/12/2022,65+ Years,0.95
05/11/2022,<2 Years,0
05/11/2022,2 - 4 Years,0
05/11/2022,5 - 11 Years,0.357
05/11/2022,12 - 17 Years,0.694
05/11/2022,18 - 24 Years,0.785
05/11/2022,25 - 49 Years,0.826
05/11/2022,50 - 64 Years,0.931
05/11/2022,65+ Years,0.95
05/10/2022,<2 Years,0
05/10/2022,2 - 4 Years,0
05/10/2022,5 - 11 Years,0.357
05/10/2022,12 - 17 Years,0.694
05/10/2022,18 - 24 Years,0.784
05/10/2022,25 - 49 Years,0.826
05/10/2022,50 - 64 Years,0.931
05/10/2022,65+ Years,0.95
05/09/2022,<2 Years,0
05/09/2022,2 - 4 Years,0
05/09/2022,5 - 11 Years,0.356
05/09/2022,12 - 17 Years,0.694
05/09/2022,18 - 24 Years,0.784
05/09/2022,25 - 49 Years,0.825
05/09/2022,50 - 64 Years,0.931
05/09/2022,65+ Years,0.95
05/08/2022,<2 Years,0
05/08/2022,2 - 4 Years,0
05/08/2022,5 - 11 Years,0.356
05/08/2022,12 - 17 Years,0.694
05/08/2022,18 - 24 Years,0.784
05/08/2022,25 - 49 Years,0.825
05/08/2022,50 - 64 Years,0.931
05/08/2022,65+ Years,0.95
05/07/2022,<2 Years,0
05/07/2022,2 - 4 Years,0
05/07/2022,5 - 11 Years,0.356
05/07/2022,12 - 17 Years,0.694
05/07/2022,18 - 24 Years,0.784
05/07/2022,25 - 49 Years,0.825
05/07/2022,50 - 64 Years,0.931
05/07/2022,65+ Years,0.95
05/06/2022,<2 Years,0
05/06/2022,2 - 4 Years,0
05/06/2022,5 - 11 Years,0.356
05/06/2022,12 - 17 Years,0.694
05/06/2022,18 - 24 Years,0.784
05/06/2022,25 - 49 Years,0.825
05/06/2022,50 - 64 Years,0.931
05/06/2022,65+ Years,0.95
05/05/2022,<2 Years,0
05/05/2022,2 - 4 Years,0
05/05/2022,5 - 11 Years,0.356
05/05/2022,12 - 17 Years,0.693
05/05/2022,18 - 24 Years,0.784
05/05/2022,25 - 49 Years,0.825
05/05/2022,50 - 64 Years,0.931
05/05/2022,65+ Years,0.95
05/04/2022,<2 Years,0
05/04/2022,2 - 4 Years,0
05/04/2022,5 - 11 Years,0.356
05/04/2022,12 - 17 Years,0.693
05/04/2022,18 - 24 Years,0.783
05/04/2022,25 - 49 Years,0.825
05/04/2022,50 - 64 Years,0.93
05/04/2022,65+ Years,0.95
05/03/2022,<2 Years,0
05/03/2022,2 - 4 Years,0
05/03/2022,5 - 11 Years,0.356
05/03/2022,12 - 17 Years,0.693
05/03/2022,18 - 24 Years,0.783
05/03/2022,25 - 49 Years,0.825
05/03/2022,50 - 64 Years,0.93
05/03/2022,65+ Years,0.95
05/02/2022,<2 Years,0
05/02/2022,2 - 4 Years,0
05/02/2022,5 - 11 Years,0.355
05/02/2022,12 - 17 Years,0.693
05/02/2022,18 - 24 Years,0.783
05/02/2022,25 - 49 Years,0.825
05/02/2022,50 - 64 Years,0.93
05/02/2022,65+ Years,0.95
05/01/2022,<2 Years,0
05/01/2022,2 - 4 Years,0
05/01/2022,5 - 11 Years,0.355
05/01/2022,12 - 17 Years,0.693
05/01/2022,18 - 24 Years,0.783
05/01/2022,25 - 49 Years,0.825
05/01/2022,50 - 64 Years,0.93
05/01/2022,65+ Years,0.95
04/30/2022,<2 Years,0
04/30/2022,2 - 4 Years,0
04/30/2022,5 - 11 Years,0.355
04/30/2022,12 - 17 Years,0.693
04/30/2022,18 - 24 Years,0.783
04/30/2022,25 - 49 Years,0.825
04/30/2022,50 - 64 Years,0.93
04/30/2022,65+ Years,0.95
04/29/2022,<2 Years,0
04/29/2022,2 - 4 Years,0
04/29/2022,5 - 11 Years,0.355
04/29/2022,12 - 17 Years,0.693
04/29/2022,18 - 24 Years,0.783
04/29/2022,25 - 49 Years,0.824
04/29/2022,50 - 64 Years,0.93
04/29/2022,65+ Years,0.95
04/28/2022,<2 Years,0
04/28/2022,2 - 4 Years,0
04/28/2022,5 - 11 Years,0.355
04/28/2022,12 - 17 Years,0.693
04/28/2022,18 - 24 Years,0.783
04/28/2022,25 - 49 Years,0.824
04/28/2022,50 - 64 Years,0.93
04/28/2022,65+ Years,0.95
04/27/2022,<2 Years,0
04/27/2022,2 - 4 Years,0
04/27/2022,5 - 11 Years,0.355
04/27/2022,12 - 17 Years,0.692
04/27/2022,18 - 24 Years,0.782
04/27/2022,25 - 49 Years,0.824
04/27/2022,50 - 64 Years,0.93
04/27/2022,65+ Years,0.95
04/26/2022,<2 Years,0
04/26/2022,2 - 4 Years,0
04/26/2022,5 - 11 Years,0.354
04/26/2022,12 - 17 Years,0.692
04/26/2022,18 - 24 Years,0.782
04/26/2022,25 - 49 Years,0.824
04/26/2022,50 - 64 Years,0.929
04/26/2022,65+ Years,0.95
04/25/2022,<2 Years,0
04/25/2022,2 - 4 Years,0
04/25/2022,5 - 11 Years,0.354
04/25/2022,12 - 17 Years,0.692
04/25/2022,18 - 24 Years,0.782
04/25/2022,25 - 49 Years,0.824
04/25/2022,50 - 64 Years,0.929
04/25/2022,65+ Years,0.95
04/24/2022,<2 Years,0
04/24/2022,2 - 4 Years,0
04/24/2022,5 - 11 Years,0.354
04/24/2022,12 - 17 Years,0.692
04/24/2022,18 - 24 Years,0.782
04/24/2022,25 - 49 Years,0.824
04/24/2022,50 - 64 Years,0.929
04/24/2022,65+ Years,0.95
04/23/2022,<2 Years,0
04/23/2022,2 - 4 Years,0
04/23/2022,5 - 11 Years,0.354
04/23/2022,12 - 17 Years,0.692
04/23/2022,18 - 24 Years,0.782
04/23/2022,25 - 49 Years,0.824
04/23/2022,50 - 64 Years,0.929
04/23/2022,65+ Years,0.95
04/22/2022,<2 Years,0
04/22/2022,2 - 4 Years,0
04/22/2022,5 - 11 Years,0.354
04/22/2022,12 - 17 Years,0.692
04/22/2022,18 - 24 Years,0.782
04/22/2022,25 - 49 Years,0.824
04/22/2022,50 - 64 Years,0.929
04/22/2022,65+ Years,0.95
04/21/2022,<2 Years,0
04/21/2022,2 - 4 Years,0
04/21/2022,5 - 11 Years,0.354
04/21/2022,12 - 17 Years,0.692
04/21/2022,18 - 24 Years,0.781
04/21/2022,25 - 49 Years,0.824
04/21/2022,50 - 64 Years,0.929
04/21/2022,65+ Years,0.95
04/20/2022,<2 Years,0
04/20/2022,2 - 4 Years,0
04/20/2022,5 - 11 Years,0.353
04/20/2022,12 - 17 Years,0.692
04/20/2022,18 - 24 Years,0.781
04/20/2022,25 - 49 Years,0.823
04/20/2022,50 - 64 Years,0.929
04/20/2022,65+ Years,0.95
04/19/2022,<2 Years,0
04/19/2022,2 - 4 Years,0
04/19/2022,5 - 11 Years,0.353
04/19/2022,12 - 17 Years,0.691
04/19/2022,18 - 24 Years,0.781
04/19/2022,25 - 49 Years,0.823
04/19/2022,50 - 64 Years,0.928
04/19/2022,65+ Years,0.95
04/18/2022,<2 Years,0
04/18/2022,2 - 4 Years,0
04/18/2022,5 - 11 Years,0.353
04/18/2022,12 - 17 Years,0.691
04/18/2022,18 - 24 Years,0.781
04/18/2022,25 - 49 Years,0.823
04/18/2022,50 - 64 Years,0.928
04/18/2022,65+ Years,0.95
04/17/2022,<2 Years,0
04/17/2022,2 - 4 Years,0
04/17/2022,5 - 11 Years,0.353
04/17/2022,12 - 17 Years,0.691
04/17/2022,18 - 24 Years,0.781
04/17/2022,25 - 49 Years,0.823
04/17/2022,50 - 64 Years,0.928
04/17/2022,65+ Years,0.95
04/16/2022,<2 Years,0
04/16/2022,2 - 4 Years,0
04/16/2022,5 - 11 Years,0.353
04/16/2022,12 - 17 Years,0.691
04/16/2022,18 - 24 Years,0.781
04/16/2022,25 - 49 Years,0.823
04/16/2022,50 - 64 Years,0.928
04/16/2022,65+ Years,0.95
04/15/2022,<2 Years,0
04/15/2022,2 - 4 Years,0
04/15/2022,5 - 11 Years,0.352
04/15/2022,12 - 17 Years,0.691
04/15/2022,18 - 24 Years,0.781
04/15/2022,25 - 49 Years,0.823
04/15/2022,50 - 64 Years,0.928
04/15/2022,65+ Years,0.95
04/14/2022,<2 Years,0
04/14/2022,2 - 4 Years,0
04/14/2022,5 - 11 Years,0.352
04/14/2022,12 - 17 Years,0.691
04/14/2022,18 - 24 Years,0.78
04/14/2022,25 - 49 Years,0.823
04/14/2022,50 - 64 Years,0.928
04/14/2022,65+ Years,0.95
04/13/2022,<2 Years,0
04/13/2022,2 - 4 Years,0
04/13/2022,5 - 11 Years,0.352
04/13/2022,12 - 17 Years,0.691
04/13/2022,18 - 24 Years,0.78
04/13/2022,25 - 49 Years,0.823
04/13/2022,50 - 64 Years,0.928
04/13/2022,65+ Years,0.95
04/12/2022,<2 Years,0
04/12/2022,2 - 4 Years,0
04/12/2022,5 - 11 Years,0.352
04/12/2022,12 - 17 Years,0.69
04/12/2022,18 - 24 Years,0.78
04/12/2022,25 - 49 Years,0.823
04/12/2022,50 - 64 Years,0.927
04/12/2022,65+ Years,0.95
04/11/2022,<2 Years,0
04/11/2022,2 - 4 Years,0
04/11/2022,5 - 11 Years,0.351
04/11/2022,12 - 17 Years,0.69
04/11/2022,18 - 24 Years,0.78
04/11/2022,25 - 49 Years,0.822
