date,ageGroup,vaxxed
09/23/2022,25 - 49 Years,0.838
09/23/2022,50 - 64 Years,0.944
09/23/2022,65+ Years,0.95
09/22/2022,<2 Years,0.048
09/22/2022,2 - 4 Years,0.076
09/22/2022,5 - 11 Years,0.385
09/22/2022,12 - 17 Years,0.71
09/22/2022,18 - 24 Years,0.803
09/22/2022,25 - 49 Years,0.838
09/22/2022,50 - 64 Years,0.943
09/22/2022,65+ Years,0.95
09/21/2022,<2 Years,0.048
09/21/2022,2 - 4 Years,0.075
09/21/2022,5 - 11 Years,0.385
09/21/2022,12 - 17 Years,0.71
09/21/2022,18 - 24 Years,0.803
09/21/2022,25 - 49 Years,0.837
09/21/2022,50 - 64 Years,0.943
09/21/2022,65+ Years,0.95
09/20/2022,<2 Years,0.047
09/20/2022,2 - 4 Years,0.075
09/20/2022,5 - 11 Years,0.385
09/20/2022,12 - 17 Years,0.71
09/20/2022,18 - 24 Years,0.803
09/20/2022,25 - 49 Years,0.837
09/20/2022,50 - 64 Years,0.943
09/20/2022,65+ Years,0.95
09/19/2022,<2 Years,0.047
09/19/2022,2 - 4 Years,0.074
09/19/2022,5 - 11 Years,0.385
09/19/2022,12 - 17 Years,0.71
09/19/2022,18 - 24 Years,0.803
09/19/2022,25 - 49 Years,0.837
09/19/2022,50 - 64 Years,0.943
09/19/2022,65+ Years,0.95
09/18/2022,<2 Years,0.046
09/18/2022,2 - 4 Years,0.074
09/18/2022,5 - 11 Years,0.384
09/18/2022,12 - 17 Years,0.71
09/18/2022,18 - 24 Years,0.802
09/18/2022,25 - 49 Years,0.837
09/18/2022,50 - 64 Years,0.943
09/18/2022,65+ Years,0.95
09/17/2022,<2 Years,0.046
09/17/2022,2 - 4 Years,0.074
09/17/2022,5 - 11 Years,0.384
09/17/2022,12 - 17 Years,0.71
09/17/2022,18 - 24 Years,0.802
09/17/2022,25 - 49 Years,0.837
09/17/2022,50 - 64 Years,0.943
09/17/2022,65+ Years,0.95
09/16/2022,<2 Years,0.046
09/16/2022,2 - 4 Years,0.074
09/16/2022,5 - 11 Years,0.384
09/16/2022,12 - 17 Years,0.71
09/16/2022,18 - 24 Years,0.802
09/16/2022,25 - 49 Years,0.837
09/16/2022,50 - 64 Years,0.943
09/16/2022,65+ Years,0.95
09/15/2022,<2 Years,0.046
09/15/2022,2 - 4 Years,0.073
09/15/2022,5 - 11 Years,0.384
09/15/2022,12 - 17 Years,0.709
09/15/2022,18 - 24 Years,0.802
09/15/2022,25 - 49 Years,0.837
09/15/2022,50 - 64 Years,0.943
09/15/2022,65+ Years,0.95
09/14/2022,<2 Years,0.045
09/14/2022,2 - 4 Years,0.073
09/14/2022,5 - 11 Years,0.384
09/14/2022,12 - 17 Years,0.709
09/14/2022,18 - 24 Years,0.802
09/14/2022,25 - 49 Years,0.836
09/14/2022,50 - 64 Years,0.942
09/14/2022,65+ Years,0.95
09/13/2022,<2 Years,0.045
09/13/2022,2 - 4 Years,0.072
09/13/2022,5 - 11 Years,0.384
09/13/2022,12 - 17 Years,0.709
09/13/2022,18 - 24 Years,0.802
09/13/2022,25 - 49 Years,0.836
09/13/2022,50 - 64 Years,0.942
09/13/2022,65+ Years,0.95
09/12/2022,<2 Years,0.045
09/12/2022,2 - 4 Years,0.072
09/12/2022,5 - 11 Years,0.384
09/12/2022,12 - 17 Years,0.709
09/12/2022,18 - 24 Years,0.802
09/12/2022,25 - 49 Years,0.836
09/12/2022,50 - 64 Years,0.942
09/12/2022,65+ Years,0.95
09/11/2022,<2 Years,0.044
09/11/2022,2 - 4 Years,0.071
09/11/2022,5 - 11 Years,0.384
09/11/2022,12 - 17 Years,0.709
09/11/2022,18 - 24 Years,0.801
09/11/2022,25 - 49 Years,0.836
09/11/2022,50 - 64 Years,0.942
09/11/2022,65+ Years,0.95
09/10/2022,<2 Years,0.044
09/10/2022,2 - 4 Years,0.071
09/10/2022,5 - 11 Years,0.384
09/10/2022,12 - 17 Years,0.709
09/10/2022,18 - 24 Years,0.801
09/10/2022,25 - 49 Years,0.836
09/10/2022,50 - 64 Years,0.942
09/10/2022,65+ Years,0.95
09/09/2022,<2 Years,0.044
09/09/2022,2 - 4 Years,0.071
09/09/2022,5 - 11 Years,0.384
09/09/2022,12 - 17 Years,0.709
09/09/2022,18 - 24 Years,0.801
09/09/2022,25 - 49 Years,0.836
09/09/2022,50 - 64 Years,0.942
09/09/2022,65+ Years,0.95
09/08/2022,<2 Years,0.044
09/08/2022,2 - 4 Years,0.071
09/08/2022,5 - 11 Years,0.383
